A45	G01	G02	G03	G100	G16	G20	E01	N03	N05	A25	A26	A28a	A29	A31	A32	A33	A34	A38	Gzim	G21	G21a	G23	G24	G25	G26	G26a	G28	G29	G30	G31	A05	A06	A07a	A11	A12	A13	A14	A15	C08	A18	A49	A50	A51a	A52	A53	A55	A56	G05a	G08	G09	G13b	G13a	G32	G35	G37	G39	G40	G45	G46	G47	G48	G49	A44	A46	A01	A02	A03	A04	A07	A08	A09	A10	A10a	A16	A17	A19	A20	A21	A22	A23	A24	A27	A28	A30	A35	A36	A37	A39	A41	A40	A42	A43	A47	A48	A54	A58	A57	G27	G50	E03	E04	E09	N10	Nroth	A51
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	9	8	7	1	0	1	2	3	2	2	16	17	15	14	13	14	10	11	9	12	9	8	7	5	4	3	4	5	2	3	7	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	9	8	2	1	0	1	2	1	3	17	18	16	15	14	15	11	12	10	13	10	9	8	6	5	4	5	6	3	4	8	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	11	10	9	3	2	1	0	1	1	4	18	19	17	16	15	16	12	13	11	14	11	10	9	7	6	5	6	7	4	5	9	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	11	10	4	3	2	1	0	2	5	20	21	18	17	16	17	13	14	12	15	12	11	6	8	7	6	7	8	5	6	10	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	11	10	9	3	2	1	1	2	0	4	18	19	17	16	15	16	12	13	11	14	11	10	9	7	6	5	6	7	4	5	9	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	8	6	5	1	2	3	4	5	4	0	15	16	14	13	12	13	9	10	8	11	8	7	10	3	2	2	3	4	1	1	6	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	11	10	11	15	16	17	18	20	18	15	0	1	1	2	3	4	6	5	7	4	9	8	16	15	14	13	12	11	14	15	9	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	11	12	16	17	18	19	21	19	16	1	0	2	3	4	5	7	6	8	5	10	9	17	16	15	14	13	12	15	16	10	11	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	9	10	14	15	16	17	18	17	14	1	2	0	1	2	3	5	4	6	3	8	7	15	14	13	12	11	10	13	14	8	9	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	9	8	9	13	14	15	16	17	16	13	2	3	1	0	1	2	4	3	5	2	7	6	14	13	12	11	10	9	12	13	7	8	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
