A45	G01	G02	G03	G100	G16	G20	A44	A46	E01	N03	N05	A20	A21	A22	A23	A24	A25	A26	A28a	A29	A31	A32	A33	A34	A38	Gzim	G21	G21a	G23	G24	G25	G26	G26a	G28	G29	G30	G31	A03	A04	A05	A06	A07a	A08	A09	A10	A10a	A11	A12	A13	A14	A15	A18	C08	A49	A50	A51a	A52	A53	A55	A56	G05a	G08	G09	G13b	G13a	G32	G35	G37	G39	G40	G45	G46	G47	G48	G49	G50	A01	A02	A07	A16	A17	A19	A27	A28	A30	A35	A36	A37	A39	A41	A40	A42	A43	A47	A48	A54	A57	A58	G27	E03	E04	E09	N10	Nroth	A51
100	100	100	100	100	100	100	100	100	100	100	100	10	9	8	7	6	6	6	3	2	3	4	5	6	5	6	3	5	3	2	2	2	1	1	0	3	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	9	8	7	6	5	5	6	6	5	6	7	8	9	2	3	3	4	2	2	1	3	4	2	3	0	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	10	9	8	7	6	6	7	7	6	7	8	9	10	1	2	4	5	3	3	2	2	3	3	4	1	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	1	2	3	6	12	14	15	16	13	17	14	15	16	12	15	9	10	8	7	6	7	3	4	2	5	2	1	13	12	11	10	9	8	11	12	4	5	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	1	0	1	2	5	11	13	14	15	12	16	13	14	15	11	14	10	11	9	8	7	8	4	5	3	6	3	2	12	11	10	9	8	7	10	11	3	4	6	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	2	1	0	1	4	10	12	13	14	11	15	12	13	14	10	13	11	12	10	9	8	9	5	6	4	7	4	3	11	10	9	8	7	6	9	10	2	3	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	3	2	1	0	3	9	11	12	13	10	14	11	12	13	9	12	10	11	9	8	7	8	4	5	3	6	3	2	10	9	8	7	6	5	8	9	1	2	4	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	6	5	4	3	0	6	8	9	10	7	11	8	9	10	6	9	11	12	10	9	8	9	5	6	4	7	4	3	7	6	5	4	3	2	5	6	2	1	1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	12	11	10	9	6	0	2	3	4	1	5	1	2	3	2	2	16	17	15	14	13	14	11	14	10	12	10	9	5	4	3	2	3	4	1	2	8	7	5	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	14	13	12	11	8	2	0	1	2	1	3	2	3	4	4	3	18	19	17	16	15	16	13	16	12	14	12	11	7	6	5	4	5	6	3	4	10	9	7	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
