FST,DPS,DISTANCE,DEPTH_F,HLI_F,CTI_F,DEPTH_T,HLI_T,CTI_T,hli,cti,dd5,err27,rsp,ridge,hab_ratio
0.022731,0.20975,948.6700003,3.299999998,1294,5.179369501,0.4,1718.000001,7.172849203,1717.25,5.790000002,535.78,0.45,47.43000001,1.00E-04,0.000104167
0.219138,0.46602,5355.68,0.4,1718.000001,7.172849203,1.00E-04,1245,4.845000701,1879.86,5.579999998,435.3499999,0.43,49.30999999,0.06,0.000454545
0.05913,0.25281,2292.879999,1.980000001,1309,8.144791596,0.4,1718.000001,7.172849203,1626.55,5.700000001,564.1400002,0.42,44.07000001,1.00E-04,0.000106383
1.00E-04,0.19598,752.6499998,3.070000001,1170,6.675704501,0.4,1718.000001,7.172849203,1777.960001,6.030000002,535.0599999,0.41,36.29999999,1.00E-04,0.000131579
0.115863,0.38338,4086.41,0.4,1718.000001,7.172849203,3.570000001,1344,5.836809599,2119.35,6.109999999,446.5999998,0.35,38.87000001,0.05,33.33333332
0.159031,0.41738,4220.040001,0.4,1718.000001,7.172849203,2.000000001,1525,5.3280978,2037.17,5.410000001,445.61,0.38,44.10999999,0.03,0.000833333
0.246772,0.47292,5188.05,0.4,1718.000001,7.172849203,2.000000001,1451,6.376057101,2037.15,5.999999999,450.65,0.36,36.65999998,0.02,0.000625
0.124609,0.32206,2909.720001,4.700000001,1262,9.949107205,0.4,1718.000001,7.172849203,2424.46,5.210000001,511.7599999,0.44,48.86999999,0.03,0.000212766
1.00E-04,0.1558,468.67,8.000000003,1269.999999,7.547134902,0.4,1718.000001,7.172849203,1581.249999,6.190000002,500.8799998,0.45,57.24999998,1.00E-04,0.000107527
0.14564,0.44816,4340.8,0.4,1718.000001,7.172849203,3.000000001,1329,8.945763596,2107.150001,5.640000003,491.2900001,0.39,39.67999998,0.02,0.000212766
0.165206,0.38211,3335.050001,2.000000001,1210,6.526194999,0.4,1718.000001,7.172849203,1728.119999,6.479999998,538.7700002,0.43,39.31999999,0.04,0.000178571
0.193279,0.36771,3655.070001,3.890000001,1548,9.763032001,0.4,1718.000001,7.172849203,2362.45,5.210000001,496.8000002,0.45,49.36000002,0.05,0.000238095
0.177075,0.41875,3727.85,0.4,1718.000001,7.172849203,4.999999998,1315.000001,11.247303,1981.54,6.05,475.3600001,0.39,30.54000001,0.04,0.00030303
0.247723,0.36541,4282.110001,12.69999999,1285,12.42983821,0.4,1718.000001,7.172849203,2390.09,5.43,495.2699998,0.47,48.65999998,0.04,0.000243902
0.332652,0.40521,4324.960001,0.25,1606.000001,7.547778601,0.4,1718.000001,7.172849203,2242.13,4.830000002,471.34,0.46,62.00999998,0.16,0.000227273
0.385923,0.59978,5621.960003,0.4,1718.000001,7.172849203,3.350000001,1352.000001,7.438544299,2014.819999,5.540000001,448.7500001,0.4,50.06999998,0.07,0.000434783
0.267686,0.37743,3932.540002,16.97,1305,12.3458347,0.4,1718.000001,7.172849203,2207.27,5.200000002,518.9899999,0.43,49.75999998,0.04,0.000178571
0.189694,0.39724,5217.960001,0.4,1718.000001,7.172849203,22.85999999,1303.999999,8.041725198,1723.57,6.099999999,473.92,0.39,46.62000002,0.05,0.000357143
1.00E-04,0.1258,341.0999999,24.29999999,1316,12.25486279,0.4,1718.000001,7.172849203,1802,6.460000001,505.4299999,0.31,4.500000001,1.00E-04,0.0002
0.103533,0.43333,4329.640001,0.4,1718.000001,7.172849203,4.020000001,1286,5.945085001,2016.569999,5.370000003,446.2800001,0.39,43.96000002,0.04,0.000666667
0.0792,0.45469,1760.229999,0.4,1718.000001,7.172849203,5.999999999,1310,9.210340498,2016.81,5.600000001,467.1000002,0.4,40.49,0.06,0.000357143
0.233969,0.36995,5029.630001,5.700000001,1174,4.995123402,0.4,1718.000001,7.172849203,2180.719999,4.950000002,525.6800002,0.45,53.50000001,0.08,0.000163934
0.098587,0.33141,1386.8,0.4,1718.000001,7.172849203,3.08,1332,17.5767098,2272.63,6.239999998,466.5799998,0.39,41.00000001,0.02,0.000526316
0.097922,0.25851,2333.27,2.000000001,1685,10.9622784,4.999999998,1315.000001,8.895872099,2137.12,5.600000001,472.7399998,0.44,38.80000001,0.03,0.000243902
0.167471,0.38106,2857.480001,1.860000001,1265,7.475525898,4.999999998,1315.000001,8.895872099,1941.57,5.43,514.0199999,0.42,45.35000002,0.09,0.000175439
0.23783,0.37556,3692.830001,6.030000002,1307,8.520578401,4.999999998,1315.000001,8.895872099,1807.799999,5.710000002,528.0399998,0.4,44.49999999,0.07,0.000144928
0.180987,0.38723,2162.86,3.299999998,1294,5.179369501,4.999999998,1315.000001,8.895872099,1953.059999,5.519999998,492.7199998,0.41,47.38000001,0.1,0.000188679
0.284665,0.54029,4315.439999,4.999999998,1315.000001,8.895872099,1.00E-04,1245,4.845000701,1711.48,6.07,465.6100001,0.39,37.96000001,0.05,0.000333333
0.194913,0.39215,3520.839998,1.980000001,1309,8.144791596,4.999999998,1315.000001,8.895872099,1829.049999,5.509999999,525.4900002,0.41,45.15000001,0.07,0.000149254
0.166883,0.42124,2011.940001,3.070000001,1170,6.675704501,4.999999998,1315.000001,8.895872099,1855.85,5.760000002,493.7400001,0.4,34.64000001,1.00E-04,0.0002
0.215282,0.42819,3309.11,4.999999998,1315.000001,8.895872099,3.570000001,1344,5.836809599,2061.87,5.530000003,448.5100001,0.36,38.57999998,0.04,0.000416667
0.235994,0.37602,3468.210001,4.999999998,1315.000001,8.895872099,2.000000001,1525,5.3280978,1924.87,5.600000001,451.21,0.37,33.64,0.04,3.846153846
0.273903,0.44748,4396.280001,4.999999998,1315.000001,8.895872099,2.000000001,1451,6.376057101,2477.480001,5.059999998,439.3099999,0.37,50.54999998,0.07,0.000769231
0.215654,0.33726,4007.510001,4.700000001,1262,9.949107205,4.999999998,1315.000001,8.895872099,2470.47,5.029999999,479.4699999,0.4,38.65,0.14,0.000357143
0.183586,0.37213,1567.94,8.000000003,1269.999999,7.547134902,4.999999998,1315.000001,8.895872099,1863.810001,5.760000002,477.0499999,0.38,29.83000001,0.03,0.000454545
0.226357,0.4293,3861.480001,4.999999998,1315.000001,8.895872099,3.000000001,1329,8.945763596,2133.93,5.029999999,468.81,0.36,40.30999999,0.1,0.000263158
0.238781,0.33013,4500.699999,2.000000001,1210,6.526194999,4.999999998,1315.000001,8.895872099,2231.96,5.600000001,506.0999999,0.4,38.34000001,0.06,0.000204082
0.230786,0.32218,4689.219999,3.890000001,1548,9.763032001,4.999999998,1315.000001,8.895872099,2542.080001,5.170000002,460.4800001,0.42,47.97000002,0.05,0.001428571
0.23839,0.42426,2468.68,4.999999998,1315.000001,8.895872099,4.999999998,1315.000001,11.247303,1994.329999,6.2,478.4200001,0.38,29.66000001,0.06,0.000277778
0.16104,0.31005,5300.879997,12.69999999,1285,12.42983821,4.999999998,1315.000001,8.895872099,2339.78,5.049999999,453.6500002,0.44,54.40000001,0.16,0.000526316
0.329318,0.36712,5298.779998,0.25,1606.000001,7.547778601,4.999999998,1315.000001,8.895872099,2235.45,4.86,452.86,0.43,51.61999999,0.09,0.000625
0.349196,0.53798,4849.26,4.999999998,1315.000001,8.895872099,3.350000001,1352.000001,7.438544299,2326.19,5.540000001,447.3100002,0.36,43.53000002,0.06,0.000625
